country_code,iata,airport,latitude,longitude
AE,AAN,Al Ain International Airport,24.2617,55.6092
AE,AUH,Abu Dhabi International Airport,24.433,54.6511
AE,AYM,Yas Island Seaplane Base,24.467,54.6103
AE,AZI,Al Bateen Executive Airport,24.4283,54.4581
AE,DHF,Al Dhafra Air Base,24.2482,54.5477
AE,XSB,Sir Bani Yas Airport,24.2836,52.5803
AE,ZDY,Dalma Airport,24.51,52.3352
AE,FJR,Fujairah International Airport,25.1122,56.324
AE,SHJ,Sharjah International Airport,25.3286,55.5172
AE,DCG,Dubai Creek Seaplane Base,25.2422,55.3314
AE,DJH,Jebel Ali Seaplane Base,24.989,55.0238
AE,DWC,Al Maktoum International Airport,24.8964,55.1614
AE,DXB,Dubai International Airport,25.2528,55.3644
AE,NHD,Al Minhad Air Base,25.0268,55.3662
AE,RHR,Al Hamra Seaplane Base,25.691,55.778
AE,RKT,Ras Al Khaimah International Airport,25.6135,55.9388
AF,DAZ,Darwaz Airport,38.4611,70.8825
AF,FBD,Fayzabad Airport,37.1211,70.5181
AF,KUR,Razer Airport,37.752,-89.0154
AF,KWH,Khwahan Airport,37.883,70.217
AF,SGA,Sheghnan Airport,37.567,71.5
AF,LQN,Qala i Naw Airport,34.985,63.1178
AF,MZR,Mazar-e Sharif International Airport,36.7069,67.2097
AF,BIN,Bamyan Airport,34.817,67.817
AF,FAH,Farah Airport,32.367,62.183
AF,MMZ,Maymana Airport,35.9308,64.7609
AF,GZI,Ghazni Airport,33.5312,68.4129
AF,SBF,Sardeh Band Airport,33.3207,68.6365
AF,CCN,Chaghcharan Airport,34.5265,65.271
AF,BST,Bost Airport,31.5597,64.365
AF,DWR,Dwyer Airport,31,64
AF,OAZ,Camp Bastion Air Base,31.8638,64.2246
AF,HEA,Herat International Airport,34.21,62.2283
AF,OAH,Shindand Air Base,33.3913,62.261
AF,ZAJ,Zaranj Airport,30.9722,61.8658
AF,GRG,Gardez Airport,33.6315,69.2394
AF,KBL,Kabul International Airport,34.5658,69.2131
AF,KDH,Kandahar International Airport,31.5058,65.8478
